Location,Site ID,Pre Teabag Weight (g),Post Teabag Weight,Temperature,Imidacloprid Concentration ,Fipronil Concentration,Imidacloprid ,Percentage Urban and Suburban,Point 
Norfolk,14b,1.9,0.775,15.043,0.0031,0.0021,Absent,6.736347909,b
Norfolk,14c,1.9,0.778,15.043,0.0031,0.0021,Absent,6.736347909,c
Norfolk,14d,1.9,0.837,15.043,0.0031,0.0021,Absent,6.736347909,d
Norfolk,14e,1.9,0.731,15.043,0.0031,0.0021,Absent,6.736347909,e
Norfolk,14f,1.9,0.794,15.043,0.0031,0.0021,Absent,6.736347909,f
Norfolk,15a,1.9,0.771,17.003,0.0031,0.0021,Absent,4.207422436,a
Norfolk,15b,1.9,0.735,17.003,0.0031,0.0021,Absent,4.207422436,b
Norfolk,15c,1.9,0.778,17.003,0.0031,0.0021,Absent,4.207422436,c
Norfolk,15d,1.9,0.77,17.003,0.0031,0.0021,Absent,4.207422436,d
Norfolk,15e,1.9,0.756,17.003,0.0031,0.0021,Absent,4.207422436,e
Norfolk,15f,1.9,0.754,17.003,0.0031,0.0021,Absent,4.207422436,f
Norfolk,16a,1.9,0.915,14.496,,,Absent,5.54978999,a
Norfolk,16b,1.9,0.871,14.496,,,Absent,5.54978999,b
Norfolk,16c,1.9,,14.496,,,Absent,5.54978999,c
Norfolk,16d,1.9,0.869,14.496,,,Absent,5.54978999,d
Norfolk,16e,1.9,,14.496,,,Absent,5.54978999,e
Norfolk,16f,1.9,0.822,14.496,,,Absent,5.54978999,f
Norfolk,17a,1.9,0.773,16.058,,,Absent,6.388221015,a
Norfolk,17b,1.9,0.824,16.058,,,Absent,6.388221015,b
Norfolk,17c,1.9,,16.058,,,Absent,6.388221015,c
Norfolk,17d,1.9,0.972,16.058,,,Absent,6.388221015,d
Norfolk,17e,1.9,0.82,16.058,,,Absent,6.388221015,e
Norfolk,17f,1.9,0.929,16.058,,,Absent,6.388221015,f
Norfolk,18a,1.9,0.765,13.317,,,Absent,6.132548145,a
Norfolk,18b,1.9,0.844,13.317,,,Absent,6.132548145,b
Norfolk,18c,1.9,0.824,13.317,,,Absent,6.132548145,c
Norfolk,18d,1.9,0.948,13.317,,,Absent,6.132548145,d
Norfolk,18e,1.9,0.855,13.317,,,Absent,6.132548145,e
Norfolk,18f,1.9,0.791,13.317,,,Absent,6.132548145,f
London,1a,1.9,0.688,17.905,0.105,0.024,Present ,84.54226728,a
London,1b,1.9,0.754,17.905,0.105,0.024,Present ,84.54226728,b
London,1c,1.9,,17.905,0.105,0.024,Present ,84.54226728,c
London,1d,1.9,0.693,17.905,0.105,0.024,Present ,84.54226728,d
London,1e,1.9,0.731,17.905,0.105,0.024,Present ,84.54226728,e
London,1f,1.9,0.739,17.905,0.105,0.024,Present ,84.54226728,f
London,2a,1.9,0.728,16.684,,,Absent,66.18455606,a
London,2b,1.9,0.679,16.684,,,Absent,66.18455606,b
London,2c,1.9,0.639,16.684,,,Absent,66.18455606,c
London,2d,1.9,0.654,16.684,,,Absent,66.18455606,d
London,2e,1.9,0.677,16.684,,,Absent,66.18455606,e
London,2f,1.9,0.989,16.684,,,Absent,66.18455606,f
London,3a,1.9,0.832,17.987,0.013,0.0006,Present ,67.26934017,a
London,3b,1.9,0.808,17.987,0.013,0.0006,Present ,67.26934017,b
London,3c,1.9,0.643,17.987,0.013,0.0006,Present ,67.26934017,c
London,3d,1.9,0.751,17.987,0.013,0.0006,Present ,67.26934017,d
London,3e,1.9,,17.987,0.013,0.0006,Present ,67.26934017,e
London,3f,1.9,0.69,17.987,0.013,0.0006,Present ,67.26934017,f
London,4a ,1.9,0.789,17.155,0.0006,0.07,Absent,34.08528405,a
London,4b,1.9,0.745,17.155,0.0006,0.07,Absent,34.08528405,b
London,4c,1.9,0.866,17.155,0.0006,0.07,Absent,34.08528405,c
London,4d,1.9,0.95,17.155,0.0006,0.07,Absent,34.08528405,d
London,4e,1.9,,17.155,0.0006,0.07,Absent,34.08528405,e
London,4f,1.9,0.834,17.155,0.0006,0.07,Absent,34.08528405,f
London,5a,1.9,0.819,13.662,0.012,0.0023,Absent,48.2513517,a
London,5b,1.9,0.832,13.662,0.012,0.0023,Absent,48.2513517,b
London,5c,1.9,0.789,13.662,0.012,0.0023,Absent,48.2513517,c
London,5d,1.9,0.768,13.662,0.012,0.0023,Absent,48.2513517,d
London,5e,1.9,,13.662,0.012,0.0023,Absent,48.2513517,e
London,5f,1.9,0.878,13.662,0.012,0.0023,Absent,48.2513517,f
London,6a,1.9,,17.3,0,0,Absent,43.69359439,a
London,6b,1.9,0.692,17.3,0,0,Absent,43.69359439,b
London,6c,1.9,,17.3,0,0,Absent,43.69359439,c
London,6d,1.9,0.75,17.3,0,0,Absent,43.69359439,d
London,6e,1.9,0.76,17.3,0,0,Absent,43.69359439,e
London,6f,1.9,,17.3,0,0,Absent,43.69359439,f
Kennet,7a ,1.9,0.819,12.763,0.0019,0.0004,Absent,5.4463105,a
Kennet,7b,1.9,0.837,12.763,0.0019,0.0004,Absent,5.4463105,b
Kennet,7c,1.9,0.864,12.763,0.0019,0.0004,Absent,5.4463105,c
Kennet,7d,1.9,0.883,12.763,0.0019,0.0004,Absent,5.4463105,d
Kennet,7e,1.9,0.808,12.763,0.0019,0.0004,Absent,5.4463105,e
Kennet,7f,1.9,0.883,12.763,0.0019,0.0004,Absent,5.4463105,f
Kennet,8a ,1.9,0.826,13.674,0.0019,0.0004,Absent,5.281221096,a
Kennet,8b,1.9,0.789,13.674,0.0019,0.0004,Absent,5.281221096,b
Kennet,8c,1.9,0.815,13.674,0.0019,0.0004,Absent,5.281221096,c
Kennet,8d,1.9,0.812,13.674,0.0019,0.0004,Absent,5.281221096,d
Kennet,8e,1.9,0.853,13.674,0.0019,0.0004,Absent,5.281221096,e
Kennet,8f ,1.9,0.848,13.674,0.0019,0.0004,Absent,5.281221096,f
Kennet,9a,1.9,,12.793,0.0019,0.0004,Absent,5.190481943,a
Kennet,9b,1.9,0.885,12.793,0.0019,0.0004,Absent,5.190481943,b
Kennet,9c,1.9,0.905,12.793,0.0019,0.0004,Absent,5.190481943,c
Kennet,9d,1.9,0.917,12.793,0.0019,0.0004,Absent,5.190481943,d
Kennet,9e,1.9,0.82,12.793,0.0019,0.0004,Absent,5.190481943,e
Kennet,9f,1.9,0.91,12.793,0.0019,0.0004,Absent,5.190481943,f
Kennet,10a ,1.9,0.817,12.811,0.0019,0.0004,Present ,4.834418121,a
Kennet,10b,1.9,0.77,12.811,0.0019,0.0004,Present ,4.834418121,b
Kennet,10c,1.9,0.808,12.811,0.0019,0.0004,Present ,4.834418121,c
Kennet,10d,1.9,0.838,12.811,0.0019,0.0004,Present ,4.834418121,d
Kennet,10e,1.9,0.758,12.811,0.0019,0.0004,Present ,4.834418121,e
Kennet,10f,1.9,1.115,12.811,0.0019,0.0004,Present ,4.834418121,f
Kennet,11a,1.9,0.793,13.75,0.0019,0.0004,Absent,4.569749727,a
Kennet,11b,1.9,0.747,13.75,0.0019,0.0004,Absent,4.569749727,b
Kennet,11c,1.9,0.853,13.75,0.0019,0.0004,Absent,4.569749727,c
