Location,Site ,Point ID,Point ,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid 
London,Cray,5d,d,28,4.928,4.916,1.9,2.44,4.878,1.953,1.734,1.501,0.018917819,0.047619048,0.029293521,0.033840749,0.018746867,0.01924812,13.662,32,,,,,,,5d,0.012,0.0023,,3.33,44.9213517,48.2513517,2571219.9,34703652,77254247,Absent
London,Cray,5e,e,29,5.021,5.005,1.9,2.44,4.872,1.275,1.395,0.001,0.012130726,0.047619048,,0.027224824,0.019949875,,13.662,74,,,,,,,5e,0.012,0.0023,,3.33,44.9213517,48.2513517,2571219.9,34703652,77254247,Absent
London,Cray,5f,f,30,5.003,4.935,1.9,2.44,4.698,2.154,1.189,0.127,0.020784484,0.044716028,0.002478532,0.023204528,0.021177945,0.022005013,13.662,45,,,,,,,5f,0.012,0.0023,,3.33,44.9213517,48.2513517,2571219.9,34703652,77254247,Absent
London,Darent,6a,a,31,4.982,5.042,1.9,2.44,4.913,3.639,2.41,1.749,,0.046959531,,0.047619048,0.016541353,,17.3,,,,,,,,6a,0,0,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Absent
London,Darent,6b,b,32,4.982,4.925,1.9,2.44,4.901,3.623,2.313,1.481,0.035030215,0.047619048,0.028903201,0.045140515,0.017368421,0.017343358,17.3,5,4,2,,,,,6b,0,0,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Absent
London,Darent,6c,c,33,5.029,4.918,1.9,2.44,,,,,,,,,,,17.3,,,,1,,,,6c,0,0,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Absent
London,Darent,6d,d,34,4.958,4.943,1.9,2.44,4.845,1.675,2.085,0.377,0.016136335,0.047619048,0.007357533,0.040690867,0.018320802,0.018796992,17.3,2,3,,,,,,6d,0,0,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Absent
London,Darent,6e,e,35,4.931,4.952,1.9,2.44,4.486,3.09,2.4,2.391,0.029713824,0.043321648,0.046662763,0.047619048,0.018370927,0.019047619,17.3,1,1,,,,,,6e,0,0,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Absent
London,Darent,6f,f,36,5.057,4.948,1.9,2.44,,,,,,,,,,,17.3,,,,,,,,6f,0,0,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Absent
Kennet,Manton Bridge,7a ,a,37,4.971,4.912,1.9,2.44,4.611,1.31,0.732,1.183,0.012699705,0.044170474,0.023087432,0.014285714,0.022932331,0.020526316,12.763,24,,,,,,,7a ,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Absent
Kennet,Manton Bridge,7b,b,38,4.975,4.924,1.9,2.44,4.408,1.194,1.348,0.894,0.011546942,0.042191912,0.017447307,0.026307572,0.021754386,0.020977444,12.763,97,,,1,,,,7b,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Absent
Kennet,Manton Bridge,7c,c,39,5.021,4.977,1.9,2.44,4.901,2.162,1.209,0.841,0.02068563,0.063201222,0.016412959,0.023594848,0.019473684,0.021654135,12.763,145,,,,1,,,7c,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Absent
Kennet,Manton Bridge,7d,d,40,5.045,4.929,1.9,2.44,4.276,2.518,0.913,,0.024326387,0.040360564,,0.017818111,0.021704261,0.022130326,12.763,38,,,,,,,7d,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Absent
