,Gam.ID,Trial,Distance.cm,cont
1,25,Control 5ºC,58.8,Control
2,26,Control 5ºC,60.7,Control
3,27,Control 5ºC,40.2,Control
4,28,Control 5ºC,51.9,Control
5,29,Control 5ºC,35.9,Control
6,30,Control 5ºC,7.3,Control
67,103,P Mix 2 5ºC,15.9,Exp
68,104,P Mix 2 5ºC,9.7,Exp
69,105,P Mix 2 5ºC,24.4,Exp
70,106,P Mix 2 5ºC,20.9,Exp
71,107,P Mix 2 5ºC,23.3,Exp
72,108,P Mix 2 5ºC,32.3,Exp
13,1,Control 10ºC,55.7,Control
14,2,Control 10ºC,50,Control
15,3,Control 10ºC,45.3,Control
16,4,Control 10ºC,58.7,Control
17,5,Control 10ºC,69.3,Control
18,6,Control 10ºC,56.1,Control
55,91,P Mix 2 10ºC ,9.8,Exp
56,92,P Mix 2 10ºC ,35.1,Exp
57,93,P Mix 2 10ºC ,23.7,Exp
58,94,P Mix 2 10ºC ,29.2,Exp
59,95,P Mix 2 10ºC ,29.4,Exp
60,96,P Mix 2 10ºC ,31.1,Exp
25,13,Control 15ºC,51.2,Control
26,14,Control 15ºC,57.9,Control
27,15,Control 15ºC,50.7,Control
28,16,Control 15ºC,45.1,Control
29,17,Control 15ºC,39.6,Control
30,18,Control 15ºC,52,Control
61,97,P Mix 2 15ºC,0,Exp
62,98,P Mix 2 15ºC,0.5,Exp
63,99,P Mix 2 15ºC,0.4,Exp
64,100,P Mix 2 15ºC,3.8,Exp
65,101,P Mix 2 15ºC,0,Exp
66,102,P Mix 2 15ºC,0,Exp
